Date,Domain,File Type,Detail
2017-03-04 21:23:41,http://disfrutafresca.com/www.spk.de/spk.sich...,HTML,https://malshare.com/sample.php?action=detail&hash=e88af75b43cce5da8d17b777ebc12f68
2017-03-05 02:58:36,http://globissys.co.id/hgf65g,HTML,https://malshare.com/sample.php?action=detail&hash=1a7e95e28c4ae678f6f84b93e1b35f91
2016-11-24 13:00:13,http://sparezz.com/g67eihnrv,data,https://malshare.com/sample.php?action=detail&hash=7b730a6ca2ea4c67f22e77291eb89c85
2016-11-23 14:00:14,http://padcha.com/08yhrf3,data,https://malshare.com/sample.php?action=detail&hash=a74f4ed7171e035198f93a6210bb29ea
2017-03-05 06:06:19,http://nabila.co.id/2zm3irl0wq,data,https://malshare.com/sample.php?action=detail&hash=d584e3c67a6767a57179f1b31d782c3d
2017-03-04 23:15:43,http://03284db.netsolhost.com/t76f3g,data,https://malshare.com/sample.php?action=detail&hash=c1ba0818c697c3c1a556c7dfdcb1edd4
2017-03-06 03:06:38,http://aksesoriehpunik.co.id/wp-includes/cert...,HTML,https://malshare.com/sample.php?action=detail&hash=c371d83ec9ab384f1395336d2be53a11
2017-03-06 03:08:23,http://cvsksjaya.co.id/wp-includes/images/cry...,HTML,https://malshare.com/sample.php?action=detail&hash=cba43194f87f9ccb7381d52387f4303d
2017-03-06 03:08:41,http://ikhwanproduction.co.id/wp-link/juno.ru...,HTML,https://malshare.com/sample.php?action=detail&hash=0d613f6306b8478fa1e681ecce91e0a0
2017-03-06 03:08:43,http://ikhwanproduction.co.id/wp-link/juno.ru...,HTML,https://malshare.com/sample.php?action=detail&hash=8298bd9c23e386011f7ffcf96b349e7e
2017-03-06 03:21:41,http://www.tokohenik.co.id/confg/wells/wells/...,HTML,https://malshare.com/sample.php?action=detail&hash=6485b6426f58937e693ed3c2ec24d930
2017-03-04 20:46:18,http://www.rosefloristasri.com/img/login.alib...,HTML,https://malshare.com/sample.php?action=detail&hash=c683c1712f87f9e5632a351df887f801
2017-03-04 20:47:56,http://habot.co.za/verifi/,HTML,https://malshare.com/sample.php?action=detail&hash=934e665097193c35b3d7700e5240b2af
2017-03-04 21:03:43,http://ht-heiztechnik.ua/modules/mod_cabinet/...,HTML,https://malshare.com/sample.php?action=detail&hash=97cfda52fe8c463c42e02d9d107bb123
2017-03-04 20:47:48,http://arvindudyog.com/fmsk/kate/kate/386d688...,HTML,https://malshare.com/sample.php?action=detail&hash=189f89a2c18d6b0b0bdddbab8e8e1e47
2017-03-07 03:49:51,http://cvsksjaya.co.id/wp-includes/images/cry...,HTML,https://malshare.com/sample.php?action=detail&hash=4345190dbc51655ddcc00df5423c587a
2017-03-08 03:01:17,http://basit.co.id/Adobe.pdf/adobe.php?email=...,HTML,https://malshare.com/sample.php?action=detail&hash=61731edd4995319d50721ded77e2497f
2017-03-08 03:02:14,https://basit.co.id/Adobe.pdf/adobe.php?email...,HTML,https://malshare.com/sample.php?action=detail&hash=03c48e9453c282541f5b0c79ddde72a5
2017-03-08 03:02:46,http://anantaraeu.co.id/PDF/Match/match/,HTML,https://malshare.com/sample.php?action=detail&hash=7ec6e23dd6bdec83acc83efbe0b61770
2017-03-04 20:46:07,http://freemobile-fr.hwtechservices.info/fr/9...,HTML,https://malshare.com/sample.php?action=detail&hash=c6ef65c2ef1c02a562ca0880b25d1232
2017-03-04 20:47:50,http://swm-as.com/css/dropbox/,HTML,https://malshare.com/sample.php?action=detail&hash=cbec602c0e7f947d987bad6aa840b9da
2017-03-10 03:02:50,http://nada-travel.co.id/main/tracking.php?l=...,HTML,https://malshare.com/sample.php?action=detail&hash=38d4739d2fea901559837940bd312718
2017-03-10 03:14:43,http://alatlaboratorium.co.id/blog/webmail/we...,HTML,https://malshare.com/sample.php?action=detail&hash=062deec3e9cdea461e5c669f79d704b7
2017-03-11 03:07:57,http://tokosembako.co.id/earthlink/earthlink....,HTML,https://malshare.com/sample.php?action=detail&hash=10537644ef67bc94dea40fc0be9b1ea2
2017-03-04 21:15:53,http://fwngc.com/wp-includes/rest-api/login.j...,HTML,https://malshare.com/sample.php?action=detail&hash=2c222e45b0b41e919d17f3d7988825f4
2017-03-12 03:06:35,http://www.batiktinularsih-temanggung.co.id/w...,HTML,https://malshare.com/sample.php?action=detail&hash=ff048ac6f162b492d5cada632ca53e49
2017-03-13 03:02:05,http://www.sekom.co.id/wp-content/zokky/websc...,HTML,https://malshare.com/sample.php?action=detail&hash=39d5634299201a077df77264da436cd3
2017-03-04 21:32:34,http://buranbenjarong.com/images/Blackboard-L...,HTML,https://malshare.com/sample.php?action=detail&hash=988256633babff2b3798835db29ecf24
2017-03-13 03:09:49,http://apps.admiral.co.id/jq/js/france/wps/Ca...,HTML,https://malshare.com/sample.php?action=detail&hash=406a95404d50f4c4303f397faf7e6a98
